weight logl m0 p a1 b1 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -1.087363935436544125e+04 1.940416240664541192e+01 8.759225438184944323e+01 7.096699856481311741e+00 -5.513277765470212088e+00 1.958638452548959918e+01 1.253683824743195885e+01 1.057756013584552512e+01 1.516082632761423810e+01
0.000000000000000000e+00 -1.086956617839365572e+04 1.841169705924978572e+01 1.122459053663402386e+02 5.377402827612499436e+00 -6.998379810429364412e+00 2.700473108249313370e+01 2.633819805451796370e+01 2.209062735126158117e+01 1.618098810246512187e+01
0.000000000000000000e+00 -1.084500455464446713e+04 1.246748424994417093e+01 1.564265535948467800e+02 -1.433015074698690938e+00 -9.383144699690548762e+00 2.058854145692279758e+01 3.490692746120830137e+00 1.585313865315097104e+01 1.710444578079084010e+01
0.000000000000000000e+00 -1.083849246293022588e+04 1.335894814561657640e+01 1.787631490473666815e+02 6.205934376886229842e+00 7.768050362724505220e+00 4.747901746390223110e+00 2.318952091436304741e+01 3.662341427815405837e+00 2.158654109902661133e+01
0.000000000000000000e+00 -1.082112629655744968e+04 1.328800743365744097e+01 1.514596449206269426e+02 -5.921510189132965785e+00 -6.559417153055823846e+00 2.199694347587583465e+01 9.898915826711363053e+00 8.202301858368842957e+00 2.211415578715298835e+01
0.000000000000000000e+00 -1.078415279571100109e+04 1.387522646247629865e+01 1.102828490752412733e+02 -9.177739930919820210e+00 4.487330254966259702e-01 5.979829410359971398e+00 9.895394236132794674e+00 1.513828706004023417e+01 1.995993205259686576e+01
0.000000000000000000e+00 -1.072934904587678102e+04 1.599670057834062575e+01 1.298971319761393488e+02 9.712481097232707583e+00 -2.330861025453707214e+00 1.951707992166820915e+01 7.159635029357437119e+00 1.027880107368644147e+01 2.341189148214108684e+01
0.000000000000000000e+00 -1.064077335758795198e+04 1.919155021473547862e+01 5.195197003707703942e+01 4.480491550925334465e+00 7.364784008528065584e+00 1.983231387931099476e+01 1.585237668972547453e+01 1.260310389203382364e+01 1.079548816602364525e+01
0.000000000000000000e+00 -1.061147204359751049e+04 1.178185335365166253e+01 1.274062088298806117e+02 2.314512893654601555e+00 7.874344543510151340e+00 4.599324787938968484e+00 6.343293062496940138e+00 1.659887512488584704e+01 1.931558168910254381e+01
0.000000000000000000e+00 -1.057184068637609016e+04 1.845616856469677458e+01 1.095902201274561634e+02 8.958449626470343929e-01 9.671494660685709732e+00 1.416612235982472434e+01 1.024486874430606420e+01 8.744176028995736871e+00 1.010642461521427471e+01
0.000000000000000000e+00 -1.054251254065834291e+04 1.390771159540133617e+01 1.118652161897204707e+02 -6.903716131081973906e+00 -9.014447276598588132e+00 1.405384716664933364e+01 2.104116101979494857e+01 2.497575758818115332e+01 2.417384965495406846e+01
0.000000000000000000e+00 -1.047508237872723839e+04 1.563966109971815399e+01 1.293225850764084726e+02 -7.987426028894470953e+00 6.524489230158639685e+00 8.021533503283874822e+00 2.140826102954087773e+01 2.493792858845155536e+01 1.257923825396115092e+01
