A w B x0 f sigma_v
5.424723868599446774e+01 4.965996597822234015e+00 5.992270849590492077e+01 -1.816305179716160012e-01 2.693916027558991999e+01 4.965996597822233838e+01
5.586574537346029956e+01 4.452903342327424241e+00 6.067194822745187821e+01 9.863479805099473197e-02 2.487647642950942029e+01 4.452903342327424241e+01
5.775692047572862009e+01 4.575223013676083639e+00 6.191642399265145968e+01 -3.461128345614046253e-01 2.642507917596129730e+01 4.575223013676083639e+01
5.335439753956757869e+01 4.763715742493475958e+00 5.878859768217562731e+01 7.105272851912136645e-01 2.541651834904932628e+01 4.763715742493475602e+01
6.177876620754270220e+01 5.036880736566438976e+00 5.751818885211115173e+01 1.423943958240876384e-01 3.111722774396135449e+01 5.036880736566438799e+01
5.059549921004935413e+01 4.577511806629522617e+00 5.948822208082946617e+01 7.788533247019060468e-01 2.316014949963156155e+01 4.577511806629522795e+01
5.995023994013822488e+01 4.713441298874502472e+00 6.007137243956870520e+01 4.118698685240538282e-01 2.825719368112832086e+01 4.713441298874502650e+01
5.583718857546313785e+01 4.344612687784068505e+00 5.930813107033397813e+01 -2.711936669616772377e-01 2.425909579351488077e+01 4.344612687784068328e+01
4.911623279857812463e+01 5.632614191483077626e+00 5.972130347596570488e+01 1.130329748736505380e+00 2.766527898934577223e+01 5.632614191483077803e+01
5.178512267271183589e+01 5.606087262809346328e+00 5.857125703763861679e+01 7.647861454463988906e-01 2.903119166185093292e+01 5.606087262809346328e+01
5.119076028007692969e+01 4.784656217651832577e+00 6.017573315070172413e+01 -9.408024688515226330e-02 2.449301894603945584e+01 4.784656217651832577e+01
5.633768195894099051e+01 4.846073066097689619e+00 5.788023484623447956e+01 7.408350378746142439e-02 2.730165231476016885e+01 4.846073066097689264e+01
4.842755235509133627e+01 5.328954873465341358e+00 6.000775401489443084e+01 3.371084790286182908e-01 2.580682411326619530e+01 5.328954873465341535e+01
5.327793165630144756e+01 4.902532111621130007e+00 5.971774221903181257e+01 -1.797961138486421362e-01 2.611967707857737508e+01 4.902532111621130184e+01
5.747921537557468952e+01 4.861090281200430852e+00 5.980573337798069389e+01 5.134378108766046722e-01 2.794116552332325298e+01 4.861090281200431207e+01
5.065662927230805934e+01 5.467865199655727260e+00 5.850014816984290178e+01 4.304357921708206192e-01 2.769836203299148636e+01 5.467865199655727082e+01
5.395812493749576788e+01 4.968062801049025978e+00 5.738895151467694689e+01 7.783925239479483338e-01 2.680673533163285427e+01 4.968062801049025978e+01
5.200991574465124501e+01 4.733698609112248157e+00 6.064251777303596214e+01 -1.688378788065509895e-01 2.461992658205008055e+01 4.733698609112248334e+01
5.435790811155550983e+01 5.235698906056917679e+00 6.111991234558568209e+01 -1.562228725182279732e-01 2.846016400352136344e+01 5.235698906056917679e+01
6.308053856195143538e+01 4.216347970613369078e+00 5.901561350850831644e+01 8.011278262685728180e-02 2.659695007508823394e+01 4.216347970613369256e+01
5.428936751441570863e+01 5.069772477018784862e+00 5.829001567325173738e+01 6.363665949434640368e-01 2.752347412193424958e+01 5.069772477018784684e+01
5.855365466148499110e+01 4.716927487243017580e+00 6.148107262271557261e+01 4.896222524268090126e-01 2.761933431512937887e+01 4.716927487243017936e+01
5.163273208287392180e+01 4.438598577372749432e+00 6.218014160329639139e+01 1.906903013632472721e-01 2.291769711689125089e+01 4.438598577372749787e+01
5.905448597915403752e+01 4.718957754079081468e+00 6.084556906792376907e+01 4.445552476939447217e-01 2.786756245244833252e+01 4.718957754079081468e+01
5.271471382500678970e+01 4.320965607439388734e+00 6.226821755226477251e+01 4.815704315582394202e-01 2.277784654438639933e+01 4.320965607439389089e+01
4.988425496729320940e+01 4.343840180885544910e+00 5.997677142833993713e+01 3.127857283941732902e-01 2.166892311204675892e+01 4.343840180885544555e+01
5.221181593729264847e+01 5.516799096053581763e+00 5.775561146231169829e+01 1.687990145517819229e-01 2.880420989661720910e+01 5.516799096053581763e+01
4.817920048174499215e+01 5.433970289180887647e+00 5.949656970085494123e+01 5.390198081125241458e-01 2.618043439742917755e+01 5.433970289180887647e+01
5.903277150200747769e+01 4.286201586766207328e+00 5.912564834324300023e+01 5.812515263218607231e-01 2.530263588831113708e+01 4.286201586766207328e+01
5.799507045227011304e+01 5.061398092605775112e+00 5.882697998475613588e+01 7.172131240718293554e-01 2.935361389676575072e+01 5.061398092605774934e+01
5.433865104418978831e+01 4.708951148402393372e+00 5.943618746509196882e+01 3.350661603443256809e-01 2.558780532371743988e+01 4.708951148402393017e+01
5.862386458201580552e+01 4.109061374567692937e+00 6.018128709150979461e+01 3.432996744376044518e-01 2.408890575818481494e+01 4.109061374567693292e+01
5.767408655309183985e+01 4.447217606603339313e+00 5.957194842372888388e+01 1.056188862418139252e-01 2.564892131636749539e+01 4.447217606603339135e+01
5.633599390389642991e+01 4.647052738909474456e+00 5.940152593807931680e+01 8.743336923509463787e-01 2.617963347702893628e+01 4.647052738909474101e+01
5.583718857546313785e+01 4.344612687784068505e+00 5.930813107033397813e+01 -2.711936669616772377e-01 2.425909579351488077e+01 4.344612687784068328e+01
5.905054775369163167e+01 5.517915464628300626e+00 5.645547193475415071e+01 9.165363105016854917e-01 3.258359306448669912e+01 5.517915464628300981e+01
5.772464988028735888e+01 4.337353928506016310e+00 5.950077132210532938e+01 1.957103905887507267e-01 2.503722369298987260e+01 4.337353928506016132e+01
5.921188624392678435e+01 4.109397016698260963e+00 6.104165294470635672e+01 1.597374934226820642e-01 2.433251486838695143e+01 4.109397016698260785e+01
5.449670018477466016e+01 5.070749106827543429e+00 5.793559748824959854e+01 4.447232490167802865e-01 2.763390937869944963e+01 5.070749106827543073e+01
4.887542531570291970e+01 5.470832029268462904e+00 6.171176597398486763e+01 -1.686067021224495477e-01 2.673892422612662045e+01 5.470832029268463259e+01
