C sigma mu1 mu2 a1 a2 W lam0
2.082815532391473994e+02 7.662410620269216599e-01 1.215726798008100559e+03 1.215690923573830560e+03 3.746453668234106544e+02 3.036444504391876649e+02 3.256600532855594476e+00 1.215710738393756628e+03
1.984936569771307404e+02 6.402828085608284203e-01 1.215767448987877060e+03 1.219561206359792322e+03 1.177441849175880009e+02 2.481806605195875761e+02 1.843509011874043146e+00 1.218340483375001213e+03
1.933009797266616090e+02 5.628260871015743350e-01 1.215650324923302605e+03 1.217374260289596805e+03 1.594741000881243735e+02 2.176098838644804800e+02 1.950760852251357980e+00 1.216645183869357197e+03
2.088270796821163913e+02 6.747524675804508210e-01 1.215723356849648553e+03 1.216839203979002605e+03 8.231453314542370947e+01 2.831755575404839647e+02 1.750204481345374319e+00 1.216587896384473652e+03
2.008062877596137810e+02 6.979478311493796383e-01 1.215678714103982429e+03 1.216741427264811591e+03 3.165290884106851763e+02 2.615222182346797126e+02 2.878651426181201067e+00 1.216159507244612314e+03
1.988740234397130280e+02 6.063461663705773663e-01 1.215681510995983899e+03 1.212450183650763393e+03 3.048411304245563969e+01 2.342905533970195506e+02 1.331368782407821083e+00 1.212822213759963461e+03
1.961174584545905191e+02 5.812881117947760190e-01 1.215771608540726902e+03 1.214773754931010899e+03 1.863205505127213257e+02 2.217313055741778953e+02 2.080650337314974063e+00 1.215229384849414828e+03
2.007245790737553648e+02 5.989280829525823746e-01 1.215692309159004708e+03 1.217630052512106886e+03 3.066536675846716662e+02 2.449185237592895987e+02 2.747905582311813255e+00 1.216552739124318350e+03
1.882901301838757604e+02 5.975210015885216164e-01 1.215832256400233064e+03 1.219780301187661735e+03 1.781460120537653324e+02 2.082841381635650464e+02 2.052312300384305122e+00 1.217960235041439546e+03
1.929076235255080576e+02 6.305394123939525031e-01 1.215599237497364811e+03 1.212385459953907230e+03 1.000860675157592539e+02 2.364034273155366463e+02 1.744303769243220836e+00 1.213341371984255602e+03
1.953095938232042386e+02 7.135996410769135379e-01 1.215663189630871102e+03 1.216661939735529359e+03 3.472652541811057176e+02 2.428012058924644521e+02 3.021185229680539486e+00 1.216074156439196258e+03
2.018646547009810206e+02 5.877324039861471228e-01 1.215593108961766347e+03 1.215200435109395357e+03 2.311280529652359235e+02 2.211314993263547137e+02 2.240409808054390162e+00 1.215401111783860415e+03
2.011071067772682568e+02 6.371324655838480622e-01 1.215646755199492418e+03 1.219204410636323473e+03 3.304841366330769574e+02 2.607615427307854361e+02 2.939954180827052621e+00 1.217215814818178842e+03
