weight logl m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.200388439594319425e+04 1.222999723587298782e+01 2.120842627105886891e+00 -1.420373159521883366e+00 -8.324899994432470862e-01 -8.200006691822727234e+00 -2.351572355861892838e+00 1.045517560820918490e+01 5.531226025315266526e+00 1.930092932677972328e+00 4.777136684634463393e+00
0.000000000000000000e+00 -2.195081997874022636e+04 1.546587383278555627e+01 1.029085890514382484e+00 -7.465600172291186887e+00 -5.081505167118526956e+00 -6.994757809892697686e+00 1.439372972325742239e+00 4.611709583216935471e+00 1.947787778412589432e+00 5.263124177771514312e+00 1.189241468847397343e+01
0.000000000000000000e+00 -2.187810529907616728e+04 1.982973910694819253e+01 -9.124860085040886304e+00 9.518086973780157223e+00 9.174957793092293201e+00 -3.746634045229120247e+00 -4.844523616999902416e+00 2.881734230085715609e+01 3.061470955233834701e+01 1.989641111675711116e+01 1.405713792810481522e+01
0.000000000000000000e+00 -2.153400776193424826e+04 1.614070949106557151e+01 -1.372793313404230275e+00 -6.343446194364004143e+00 -9.559652553354808902e+00 -5.296336393363838546e+00 7.564916441692336235e+00 2.533657137514133240e+00 3.591846632674222661e-01 8.760762044365685952e+00 1.912854739741283083e+01
0.000000000000000000e+00 -2.143530039040538759e+04 1.674845980504216669e+01 -8.268811834224703006e+00 2.058641724231012660e+00 4.705509681052692628e+00 6.624148136826821798e+00 3.862537970283081989e+00 1.758523940879375402e+01 2.612402342727380855e+01 2.875614019507268893e+01 2.528566376668734605e+01
0.000000000000000000e+00 -2.137927634966614278e+04 1.076998813755548845e+01 6.820067411207489272e+00 -7.234543786191721892e+00 -6.048737321843286274e+00 5.338538821158934411e+00 -9.651425540543787207e+00 4.618554709834233662e+00 3.188083019074422708e+00 5.682571893064754853e+00 3.459861847294872561e+00
0.000000000000000000e+00 -2.132551452678600617e+04 1.235564008664997182e+01 2.856766141531197789e+00 -4.664415952977066127e+00 -1.833729876362490074e+00 -3.795246067718098359e+00 -5.836987147500389383e+00 7.733253222953014649e+00 4.987536769978790474e+00 3.308344713026704298e+00 3.917692843330387475e+00
0.000000000000000000e+00 -2.132450057300640401e+04 1.413424106017174076e+01 3.946841759746844147e+00 -9.001571852521319528e+00 5.690789491062520966e+00 -9.870072585178732538e+00 -7.301574501329120004e+00 9.561305813530843523e+00 7.924785894808625386e+00 2.112793155271111445e+00 1.517655117315714008e+00
0.000000000000000000e+00 -2.127127950501342275e+04 1.000705231963105568e+01 -1.625946150976050220e+00 -9.224072272938581563e+00 -1.714472285101596327e+00 -2.064968506751911903e+00 9.424562327047404153e+00 -1.417851818528280461e+00 2.500858611943209908e+00 1.135208474864865025e+01 1.784410371256965888e+01
0.000000000000000000e+00 -2.110335460810590303e+04 1.970086568440521546e+01 6.522937964149907231e+00 7.937997956809422107e+00 3.463326821262132427e+00 -4.699210036482326380e+00 -9.430227089530603735e+00 3.295511012820753649e+01 2.473515788241853031e+01 1.252930218884988989e+01 7.979505341349096170e+00
0.000000000000000000e+00 -2.098533589116681105e+04 1.759558070544531461e+01 7.762883794310777574e+00 1.731810015348161258e+00 -8.296933656362773135e+00 -5.953251429173551657e+00 -8.064155109667277443e+00 1.810820346610052312e+01 6.697440764621955367e+00 2.039440161531521412e+00 4.819571041490121388e+00
0.000000000000000000e+00 -2.097539115756922547e+04 1.132815753139178305e+01 -7.189821446098663138e+00 2.809996613931527776e+00 -2.244660226752004384e+00 -3.698541927357488213e+00 -6.033900289407398532e+00 7.848277955513907500e+00 6.754931202986098171e+00 2.908834818782228382e+00 2.776000765512149471e+00
