weight logl H0 sigma epsilon tau
3.813221587894830060e-28 -4.636053417662163270e+02 9.386152210996566714e-01 5.931238690168028072e-01 4.328374962755254796e-01 4.004342555366156020e-01
6.799336354002060321e-28 -4.630244911467771090e+02 8.981933611472237011e-02 2.437064800022792355e-01 9.548459817029668617e-01 7.907415944294440280e-01
1.091590789563114431e-27 -4.625485949939429702e+02 7.279424655104019815e-01 2.595123146077782383e-01 7.283138020498145515e-01 9.289391153819906988e-01
1.567596412947392175e-27 -4.621841875671068465e+02 7.781726823290804340e-01 2.867031286140065971e-01 7.918121387501018127e-01 4.878729187582615534e-01
1.654525551470352908e-27 -4.621277167743218115e+02 2.263886884750861972e-01 2.212432438473171947e-01 4.818997933033369874e-01 3.283665729498027597e-01
2.535085466735510700e-27 -4.616985037150393509e+02 5.930264253996144763e-01 2.625679562950883339e-01 5.241968285418574514e-01 7.567785415452377151e-02
2.890893090877766157e-27 -4.615646655838323227e+02 6.407628763612465139e-01 2.315669112374455496e-01 3.525555149200454430e-02 2.962292001383782791e-01
2.938523507821232738e-27 -4.615458238192250064e+02 9.283673661220535056e-01 6.219699737063160150e-01 5.218131056540077362e-01 3.177049720874614014e-02
3.659808833296403674e-27 -4.613238201514933507e+02 8.135990124569005832e-01 3.863614600041951341e-01 8.880434237542544906e-01 9.732165475466568738e-01
5.058298614686142548e-27 -4.609977008816023272e+02 1.895060139940170085e-01 2.980607739990146499e-01 3.224532345846321535e-01 3.835932852584489350e-01
6.957761778550834353e-27 -4.606763732271170397e+02 4.641003060412773884e-02 5.460878258466168589e-01 4.649604825400177610e-01 5.572268265210618132e-01
1.424629257189391450e-26 -4.599572343637316862e+02 5.895828019588433833e-03 5.131347062949098703e-01 8.790680054547100886e-01 9.734746382547663224e-01
1.513541403155053720e-26 -4.598941937682029675e+02 1.281252001462983570e-01 3.377624630751883128e-01 5.261648532809184431e-01 9.214751492750317130e-01
1.803014714309869614e-26 -4.597166858680059249e+02 7.518814519661279894e-01 2.899457190799116235e-01 8.889895232954914128e-01 1.824378439130250884e-01
1.808818681405699945e-26 -4.597109720032144651e+02 4.205251889032682877e-01 2.245290582721087835e-01 6.470938902759310052e-01 9.546541820931353506e-02
2.348498975948069666e-26 -4.594473695827689426e+02 8.779088444373190914e-01 5.465848572719546050e-01 5.384283645526242168e-01 1.361393743286327673e-01
2.687565914675321287e-26 -4.593100100536648256e+02 1.219893103443963067e-01 4.741339983531631663e-01 5.886108130727849552e-01 2.875292077197389995e-01
4.832810707993911567e-26 -4.587207177476772131e+02 3.201035224016162140e-01 3.201276996586275292e-01 6.603952005428088690e-01 8.532151277781507837e-02
7.751082758845169965e-26 -4.582458134287833218e+02 6.521654952796414051e-01 1.292932207329101635e-01 8.289976400688505720e-01 7.001826212558700524e-01
1.612673825231184084e-25 -4.575106673177436960e+02 1.413403221769379270e-01 2.875549656978996227e-01 7.737559325757897843e-01 6.248267027301735999e-01
