weight logl m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.097405735170769913e+04 1.381458231791919644e+01 1.090388644383124586e+02 2.196785501199105539e+00 -8.147748029953568505e+00 -7.280638117533147380e+00 -9.776714555729226319e+00 2.367030899615859596e+01 3.372468756876899221e+01 2.942098372121403926e+01 1.495276387474345015e+01
0.000000000000000000e+00 -2.086677352662423800e+04 1.030021414230805554e+01 9.670834552378981641e+01 -1.449382199373523861e+00 5.549204518662255836e+00 -7.583487495765397490e+00 4.791495149955771637e+00 1.431117631570175064e+01 1.309234030185602293e+01 1.076947997123452438e+01 7.594843013408435262e+00
0.000000000000000000e+00 -2.060604143962159651e+04 1.348476976698740337e+01 7.341616707722764090e+01 -6.303221976534175042e+00 -9.656724999525319930e+00 8.219872158918114735e+00 -6.065040584781627331e+00 3.137449870265257346e+01 1.361124223076641115e+01 2.451556169341740699e+00 1.804575423391054301e+01
0.000000000000000000e+00 -2.054914560620101111e+04 1.428491941392097431e+01 1.838784377988370125e+02 -9.334900480258498945e+00 -7.305587820337513527e+00 -7.182286351806343561e+00 7.531756648278644661e-01 1.939071902040376472e+01 -5.899075982586055034e-02 2.724016955183333266e+01 8.586116541638311617e+00
0.000000000000000000e+00 -2.054417109234299278e+04 1.053676178700361454e+01 1.936804893730343053e+02 -8.181640967806476539e+00 9.372906280231589449e+00 -3.224286368717546480e+00 -5.594126645831027922e+00 2.704316950504497186e+01 8.236079961346710832e+00 2.373818403470978922e+01 4.051782635915257558e+00
0.000000000000000000e+00 -2.049864281883012154e+04 1.286605844689896649e+01 1.162962372443828656e+02 -4.660013592158622764e+00 7.087635226291645552e+00 5.053754499940723122e+00 -5.223170590176415828e+00 9.791856372710892487e+00 2.640170510102439749e-01 1.396067799298162804e+01 2.780405619750270674e+01
0.000000000000000000e+00 -2.048538583646235929e+04 1.027721658413847905e+01 1.465249194548017044e+02 -7.319402559596593250e+00 5.702311646179440530e+00 -3.667134003113510232e+00 7.856057067408563910e+00 1.875677011909201042e+01 3.853246652289851859e+00 1.133293272061214019e+01 1.127724764315852468e+01
0.000000000000000000e+00 -2.048018117829925905e+04 1.507925313054843031e+01 1.295800537223192350e+02 -4.923237342614257273e-01 9.385130498214596884e+00 3.745696514430678192e+00 9.847793628093338469e+00 -3.912563532830191093e-01 2.767768911730208714e+01 5.108243327174406545e+00 2.966789032382952485e+01
0.000000000000000000e+00 -2.039575061304436895e+04 1.444764955861169220e+01 1.444180383779825547e+02 6.294865958493222280e+00 6.585615334421849099e+00 -6.457230788546423739e+00 -8.279954811012348870e+00 7.842471850357660479e+00 1.448596926677576491e+01 1.387853341083502201e+01 1.728247394162020356e+01
0.000000000000000000e+00 -2.036294489224231802e+04 1.290726399465852836e+01 1.333943830441778289e+02 5.443456189912883048e+00 -7.177653502193887647e+00 -8.647601589006248091e+00 -8.698238028009379619e+00 2.868317373526200953e+01 3.242083820358487856e-01 1.135956209322091404e+01 1.139859980249573468e+01
0.000000000000000000e+00 -2.034679125825939263e+04 1.370495828365319468e+01 1.300158594483960428e+02 -1.473181651225701216e-01 -5.091749049897074109e+00 -9.624576174928545669e+00 8.436538282543519784e+00 2.617826145135745719e+01 1.552926851172025025e+01 3.002858871579233480e+00 1.312997858626939518e+01
0.000000000000000000e+00 -2.025081621043945051e+04 1.969189677296840557e+01 8.069460184779956080e+01 8.908473643201354264e+00 1.371902379877745659e+00 1.451659906806916922e-01 -5.606426773705699418e+00 1.832341069425586610e+01 1.370403275448828495e+01 1.428241304071072548e+01 3.230045919911243146e+01
0.000000000000000000e+00 -2.024319917498738505e+04 1.606972292158089743e+01 1.251454319914859639e+02 -9.301339807742802890e+00 8.317826126021074629e+00 1.703509963066959898e+00 3.001217143817262567e+00 3.102485840598308897e+00 2.825924168828236915e+01 2.392949980241795771e+01 9.978995184573800969e+00
0.000000000000000000e+00 -2.013215977588926035e+04 1.431290346907567468e+01 5.786794599261531857e+01 8.499204009697166384e+00 -9.075912936972869716e-01 -8.980778275013639345e+00 -9.059950179557576533e+00 2.044965358743474226e+01 7.661665926345531119e+00 3.451803273153172924e+00 3.392977666630290656e+01
0.000000000000000000e+00 -1.991743864975705583e+04 1.853485589909097442e+01 1.959867733013539066e+02 -8.547033330683646568e+00 -5.593258718815401487e+00 -6.578922985348302888e+00 -6.114659928007151635e+00 2.115556572791156498e+01 2.249120077270209350e+00 2.070127975803564624e+01 7.164124189206511062e-01
0.000000000000000000e+00 -1.985069416531268507e+04 1.823417966828639436e+01 1.505904070161524260e+02 -4.778074505532345917e+00 -6.598530446461534638e+00 8.197462583544712800e+00 5.954892212628093873e+00 2.202181211309631692e+01 2.643277485420977513e+01 5.905850735412368380e+00 2.209975986244816326e+01
0.000000000000000000e+00 -1.972866987203208555e+04 1.947717747983012160e+01 1.311289417094526470e+02 -6.207278256685118123e-01 -7.301811192640482062e+00 9.041293609303789225e+00 -4.213147513933915178e+00 1.829020814676284346e+01 1.041252819545921682e+01 3.683088477968121310e+01 1.332584075975189997e+01
0.000000000000000000e+00 -1.966906123865059635e+04 1.557094306947328732e+01 1.838747309862267798e+02 -5.106718381995456468e-02 -6.512362463417495917e+00 -8.837272383714671165e+00 -5.757073835856085786e+00 9.461519529470212575e+00 2.822426701572869234e+00 1.690352816785503265e+01 6.877052637612042219e+00
0.000000000000000000e+00 -1.958289806411186146e+04 1.549159007613277339e+01 8.339198085635067059e+01 8.610077953954451857e+00 3.701524124855986031e-01 -9.718542408679482492e+00 7.693371126290216466e+00 1.325947157171800939e+01 -4.474237675388664570e+00 2.139592003475997473e+01 2.272002941634096018e+01
0.000000000000000000e+00 -1.949652141330697486e+04 1.269532293536588696e+01 1.157000919397748788e+02 4.835407421355117918e+00 4.218242002864595719e+00 7.432437167149497981e+00 4.017748394610158869e-01 9.317082030925837088e+00 7.219111219331537654e-01 6.588940491315844916e+00 1.342500630422139629e+01
0.000000000000000000e+00 -1.934933840968555523e+04 1.848808251119012169e+01 1.068199860703855677e+02 -1.425710486808860367e+00 -8.679775226794113507e+00 7.359647540175568992e+00 -7.809431371141903888e+00 1.388356575724654896e+01 2.030428548858996507e+01 2.278323609558971441e+01 1.931297267585306088e+01
0.000000000000000000e+00 -1.934277989410708688e+04 1.938479354463217419e+01 1.648616800864089385e+02 -6.924909315858465142e+00 5.126301251589637786e+00 5.597009712973502360e+00 -8.269720214144246739e+00 1.446836552139546050e+01 1.496153153371732358e+01 1.444950092604502956e+01 3.777167660099203061e+01
0.000000000000000000e+00 -1.933534285750678828e+04 1.781594699340693921e+01 1.352330716813996787e+02 -6.466181826029320234e+00 6.538644042447238292e+00 -4.701538929892947749e-01 -6.362707791223465748e+00 1.139144306396738138e+01 3.213941853841696172e+01 7.588379241866748615e+00 2.055544276313782959e+01
0.000000000000000000e+00 -1.931540344127285789e+04 1.916849540125781459e+01 1.898106742750927936e+02 8.533434344742293121e+00 2.035573933089212417e+00 1.948258681757097932e+00 -8.652413274006802268e+00 9.486634173825549965e+00 2.405152465132970718e+01 4.503609262065209506e+00 1.905635228703131645e+01
0.000000000000000000e+00 -1.926131557241197152e+04 1.072055118154314357e+01 1.772829725395820617e+02 5.381863564619404627e-01 2.822547488734588939e+00 -9.390710797948802480e+00 9.715504296683516117e+00 2.286463195507748125e+01 1.392018729964936696e+01 2.364891596550196695e+01 -2.263747240658481985e+00
0.000000000000000000e+00 -1.916342775703461666e+04 1.110995306875700805e+01 1.787922494490119902e+02 1.179412424112136648e+00 6.613155410033378701e+00 -9.758425763364016348e+00 -6.479273917747718770e+00 1.403013605750805581e+01 -5.698681906533735742e-01 1.018923535359059507e+01 -6.085836689291994617e+00
